video_number,q1_text,q1_category,q1_ans_correct,q1_ans_wrong1,q1_ans_wrong2,q1_ans_wrong3,q2_text,q2_category,q2_ans_correct,q2_ans_wrong1,q2_ans_wrong2,q2_ans_wrong3,q3_text,q3_category,q3_ans_correct,q3_ans_wrong1,q3_ans_wrong2,q3_ans_wrong3,q4_text,q4_category,q4_ans_correct,q4_ans_wrong1,q4_ans_wrong2,q4_ans_wrong3,q5_text,q5_category,q5_ans_correct,q5_ans_wrong1,q5_ans_wrong2,q5_ans_wrong3,q6_text,q6_category,q6_ans_correct,q6_ans_wrong1,q6_ans_wrong2,q6_ans_wrong3
1231,Which option best describes the environmental conditions that severely restricted driver visibility in the video?,Weather & Light,Daytime with dense fog.,,,,What best describes the traffic environment where the collision took place?,Traffic Environment,The lane was blocked by stopped or slow-moving traffic around a work/incident zone on a rural road.,,,,"Based on the video, what is the configuration of the road where the accident occurred?",Road Configuration,"A two-lane, two-way undivided highway.",,,,What type of collision occurred between the vehicles?,Accident Type,A head-on (frontal) collision.,,,,What was the primary and most direct cause of this collision?,Accident Cause,The white truck driver performed an unsafe lane change into oncoming traffic with severely limited visibility.,,,,What crucial action could have taken to prevent this accident?,Accident Prevention,The driver of the white truck should waited patiently in their own lane until the obstruction was cleared or it was verifiably safe to proceed.,,,
1232,"Based on the video, what are the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,"It is dusk/evening with cloudy skies, and the road surface is dry.",,,,Which of the following best describes the traffic environment where the accident takes place?,Traffic Environment,A rural municipal road with sparse traffic and low-rise houses.,,,,What is the configuration of the road before the crash?,Road Configuration,At a signalized intersection with at least two lanes in its direction of travel.,,,,What type of collision occurs between the vehicles?,Accident Type,A T-bone (side-impact) collision.,,,,What was the primary and direct cause of this collision?,Accident Cause,The driver of the light-colored sedan did not check the traffic flow before starting on the shoulder.,,,,Which of the following actions would have been the most effective and direct way to prevent this accident?,Accident Prevention,The driver of the light-colored car should have waited when there is a gap in the traffic flow ,,,
1234,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"It was dusk with dim lighting, and the road surface was wet, likely after rain.",,,,What best describes the traffic environment where the collision took place?,Traffic Environment,"A rural main road in moderate traffic, with wide green spaces along the roadside.",,,,"Regarding the road configuration, which statement is accurate?",Road Configuration,A wide signalized junction with multiple lanes in each direction,,,,How would this accident be classified based on the collision type and the initial point of impact?,Accident Type,The motorcycle skidded on its own to avoid the oncoming truck.,,,,What was the primary and most critical cause of this accident?,Accident Cause,The motorcycle speeding at intersection,,,,Which action would have been the most effective measure to prevent this collision?,Accident Prevention,The motorcycle should slow down before entering an intersection.,,,
1237,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy or overcast skies and a dry road surface.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An suburban main road featuring a bus stop, traffic signals, and roadside greenery.",,,,What is the configuration of the road before the crash?,Road Configuration,"A two-lane, two-way road, with the ego vehicle proceeding straight on a green light.",,,,How would you classify the type of collision that occurred in the video?,Accident Type,"A side-impact (T-bone) collision, where a vehicle pulling out from the roadside was struck by a vehicle proceeding straight.",,,,What was the primary cause of this accident?,Accident Cause,The white van improperly entered the active traffic lane from the roadside without yielding the right-of-way.,,,,What crucial action could have taken to prevent this collision?,Accident Prevention,The driver of the white van should thoroughly checking mirrors and blind spots for approaching traffic and yielding before entering the lane.,,,
1242,"Based on the visual evidence in the video, what are the prevailing weather and road surface conditions?",Weather & Light,Daytime with overcast skies and a fully wet road surface.,,,,What specific feature of the traffic environment is present at the location of the incident?,Traffic Environment,"A crossroads in the suburbs, and a few vehicles at the intersection.",,,,How can the road layout where the collision occurs be best described?,Road Configuration,"A multi-lane road with two lanes of traffic moving in the same direction,with a green median strip on one side of the road.",,,,Which of the following descriptions best categorizes the type of accident shown?,Accident Type,"?A rear-end collision between two white cars on the oncoming side, resulting in a head-on collision between one white car and the front SUV.",,,,"What was the primary, most direct cause of this collision?",Accident Cause,"The white car behind the another white car failed to slow down at the intersection, leading to a rear-end collision and subsequent accidents.",,,,What single action would have been the most effective in preventing this accident?,Accident Prevention,"Slow down when entering an intersection, especially in rainy weather.",,,
1247,"Based on the video, what were the prevailing weather and lighting conditions when the accident occurred?",Weather & Light,Daytime with cloudy skies and a dry road surface.,,,,Which of the following best describes the traffic environment where the collision happens?,Traffic Environment,A signal-controlled urban intersection surrounded by apartment buildings.,,,,What is the physical layout of the junction shown in the video?,Road Configuration,A four-way cross-intersection controlled by traffic lights.,,,,What type of collision occurs in the video?,Accident Type,A sideswipe collision where the vehicles scraped along each other's sides.,,,,What was the primary human error that led to this accident?,Accident Cause,The driver of the dark SUV uable to control the speed and the angle,,,,What specific action should have taken to prevent this crash?,Accident Prevention,The black SUV should turn carefully and slowly.,,,
1270,"Based on the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,Clear sky during the day with dry road conditions.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,A suburban multi-lane expressway with light traffic.,,,,What is the configuration of the road on which the collision occurs?,Road Configuration,"A multi-lane, two-way carriageway in th curve part, with a central divider.",,,,What type of collision occurred in the video?,Accident Type,A frontal collision resulting from the van cutting into the oncoming lanes.,,,,What was the primary and most direct cause of this accident?,Accident Cause,"A sudden mechanical failure, such as a tire blowout, on the white van.",,,,What was the most critical action that could have prevented this collision?,Accident Prevention,"Proper vehicle maintenance, including checking wheel fasteners and hub integrity, on the vehicle that lost the wheel.",,,
1275,"Based on the video, what are the weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime with clear skies, scattered clouds, and good visibility.",,,,Which of the following best describes the traffic environment where the collision happens?,Traffic Environment,A busy urban intersection with multi-story buildings and moderate traffic.,,,,What is the configuration of the road where the accident takes place?,Road Configuration,"A multi-lane, signalized intersection with clearly marked crosswalks and lane dividers.",,,,How would you classify the type of collision that occurs between the white car and the motorcycle?,Accident Type,"A side-impact (T-bone) collision, where the car's front impacts the motorcycle's side.",,,,"Based on the vehicle dynamics shown, what was the most probable primary cause of this accident?",Accident Cause,The black car performed a U-turn without observing the oncoming motorcycle,,,,Which of the following actions would have been the most effective measure to prevent this collision?,Accident Prevention,The black car shoul wait for the straight-through traffic to clear before proceeding.,,,
1282,"Based on the visual information in the video, what were the prevailing weather and lighting conditions at the time of the incident?",Weather & Light,The incident occurred during daylight hours with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision took place?,Traffic Environment,"Multi-lane roads in the suburbs, with green belts along the sides.",,,,What is the configuration of the road at the accident location?,Road Configuration,A straight section of a multi-lane road with an unsignalized intersection or entrance,,,,What type of collision is shown in the video?,Accident Type,"A head-on collision, where the two vehicles struck each other front-to-front.",,,,What was the primary factor that led to this collision?,Accident Cause,"The black car driver was traveling too fast and lacked attention, causing the vehicle to veer into the oncoming lane.",,,,What was the most critical action that should have taken to prevent this accident?,Accident Prevention,"The black car should slow down, and wait for the oncoming camera car to pass completely before beginning the left turn.",,,
1283,"Based on the visual evidence, what were the weather and road conditions at the time of the accident?",Weather & Light,Daylight with a wet road surface from recent rain.,,,,Which of the following best describes the traffic environment where the collision happened?,Traffic Environment,"A multi-lane urban street at an intersection with a crosswalk, with a few cars parked alongside the road.",,,,What specific road configuration is the primary setting for this accident?,Road Configuration,"An intersection where a vehicle turned left across the path of oncoming, straight-through traffic",,,,How can the collision be best classified?,Accident Type,A side-impact (T-bone) collision,,,,What was the primary critical error that led to this accident?,Accident Cause,The dark SUV failed to yield the right-of-way to oncoming traffic while making a left turn.,,,,Which action by one of the drivers would have been the most effective and direct way to prevent this collision?,Accident Prevention,The driver of the dark SUV should have waited for a safe gap in oncoming traffic before turning.,,,
1289,"Based on the visual information in the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"The scene takes place during the day with cloudy skies, good visibility, and a dry road surface.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A multi-lane urban expressway or arterial road with moderate traffic flow.,,,,What is the configuration of the road markings relevant to the accident?,Road Configuration,A solid white line separates the main travel lanes from the shoulder/auxiliary lane from which the military vehicle is merging.,,,,How can the type of collision shown in the video be most accurately classified?,Accident Type,A sideswipe collision caused by an improper and illegal lane change.,,,,What was the primary and direct cause of this accident?,Accident Cause,"The black car performed an unsafe merge across a solid line, failing to yield the right-of-way to the trailer.",,,,Which action would have most effectively prevented this collision?,Accident Prevention,The black car should have yielded to traffic in the main lane and waited for a safe gap before attempting to merge.,,,
1290,"Based on the visual information in the video, what were the prevailing weather and light conditions at the time of the incident?",Weather & Light,Daylight with an overcast sky and a dry road surface.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,A multi-lane urban expressway or highway with moderate traffic.,,,,What is the physical layout of the road segment where the collision takes place?,Road Configuration,"A cureve, multi-lane road with clear lane markings.",,,,How would you classify the type of collision shown in the video?,Accident Type,"A sideswipe collision, resulting from one vehicle losing control and moving laterally into another.",,,,What was the most likely primary cause of this accident?,Accident Cause,"A sideswipe where black SUV executed an abrupt and unsafe lane change, hitting the white car.",,,,Which driving behavior would have been most crucial in preventing this specific type of accident?,Accident Prevention,"The black jeep should maintaining proper vehicle control with smooth steering inputs, especially at highway speeds.",,,
1294,"Based on the video, what are the weather and lighting conditions at the time of the incident?",Weather & Light,Clear daylight with a dry road surface.,,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,A busy urban intersection with multiple lanes and surrounding buildings.,,,,What is the configuration of the road where the accident takes place?,Road Configuration,"A signalized, multi-lane intersection with pedestrian crosswalks.",,,,What type of collision occurs in the video?,Accident Type,"?side-impact (T-bone) collision, where the front of the sedan hits the side of the car.",,,,"What was the primary and direct cause of this accident, based on traffic rules?",Accident Cause,The dark sedan ran a red light at high speed.,,,,Which action could have most reliably prevented the collision from happening in the first place?,Accident Prevention,The black car should wait for a safe gap in oncoming traffic and ensure the straight-traveling van has passed before turning.,,,
1301,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy urban multi-lane road with heavy traffic flow.,,,,What is the configuration of the road where the accident happened?,Road Configuration,"A straight, multi-lane urban artery with clear lane markings.",,,,What type of collision is depicted in the video?,Accident Type,A head-on collision between two vehicles in the intersection.,,,,What was the primary and most direct cause of this accident?,Accident Cause,The recording vehicle was speeding and failed to yield to the turing SUV.,,,,What action would have been the most effective measure to prevent this specific accident?,Accident Prevention,The videocar should slow down and wait for the cars that already turned in the intersection.,,,
1303,"Based on the video, what are the weather and road surface conditions at the time of the accident?",Weather & Light,Daytime with an overcast sky and a dry road surface.,,,,What is the traffic situation ahead of the ego-vehicle just before the incident?,Traffic Environment,"There is a red traffic light approaching an exit of highway, and a queue of vehicles is stopped ahead.",,,,Which statement accurately describes the road configuration where the collision occurs?,Road Configuration,"The ego-vehicle is in the leftmost lane, separated by a solid white line to its right and orange bollards to its left.",,,,What type of collision occurs in the video?,Accident Type,"A sideswipe collision, where the truck hits the side of the ego-vehicle while changing lanes.",,,,What is the primary cause of this accident?,Accident Cause,The truck lost control and burst out from the side¡£,,,,What is the most critical action the truck driver should have taken to prevent this accident?,Accident Prevention,The truck should thoroughly inspect the vehicle before departure to prevent mechanical failure.,,,
1308,What were the weather and lighting conditions at the time of the incident?,Weather & Light,It was daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision happened?,Traffic Environment,"Small intersections with little traffic in the city, with green belts and along the roadside.",,,,"Based on the video, what is the configuration of the road where the accident occurred?",Road Configuration,A two-way road with one lane for each direction.,,,,What type of accident is depicted in the video?,Accident Type,A T-bone collision at an intersection.,,,,What was the primary cause of this rear-end collision?,Accident Cause,Both the driver of the recording vehicle and the other SUV involved failed to maintain a low speed and react in time.,,,,Which action by one of the drivers could have most directly prevented this accident from occurring?,Accident Prevention,The vehicle should slow down before entering the intersection,,,
1309,"Based on the visual evidence in the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,On an urban main road at an intersection with commercial buildings nearby.,,,,What is the road configuration at the location of the collision?,Road Configuration,"A 4-way intersection controlled by traffic lights, with marked crosswalks and multiple lanes.",,,,What is the most accurate classification for this type of collision event?,Accident Type,A vehicle-pedestrian collision on a crosswalk.,,,,What was the primary and most direct cause of this accident?,Accident Cause,The pedestrian suddenly moved backward and blocked the front of the car without looking for oncoming traffic.,,,,Which defensive driving action would have been most effective in preventing or mitigating this accident?,Accident Prevention,The video car should anticipate the hidden danger and significantly reduce speed when approaching the visually obstructed crosswalk.,,,
1312,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with a cloudy sky and dry road conditions.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An suburb multi-lane road, with sparse buildings and roadside trees.",,,,What is the road configuration at the location of the collision?,Road Configuration,"A multi-lane roadway approaching to an unsignalized intersection,with at least two lanes in the same direction.",,,,What type of accident is depicted in the video?,Accident Type,A T-bone collision at an intersection.,,,,What was the primary cause of this accident?,Accident Cause,The driver of the recording car was distracted and failed to notice the van's turning behind the left car.,,,,Which action could have most effectively prevented this collision?,Accident Prevention,Slow down when approaching an intersection to avoid "ghost appearance".,,,
1316,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"Daytime with an overcast or cloudy sky, providing ample natural light and a dry road surface.",,,,What type of traffic environment is depicted in the video where the collision occurs?,Traffic Environment,A multi-lane or suburban thoroughfare lined with factory buildings.,,,,Which description best fits the road configuration at the scene of the crash?,Road Configuration,Multi-lane roads with unclear lane markings,,,,Which description best fits the road configuration at the scene of the crash?,Accident Type,A T-bone (or angle) collision where the front of the motorcycle impacted the side of the turning car.,,,,What was the primary traffic violation that initiated the sequence of events leading to this crash?,Accident Cause,The silver car's driver failed to yield the right-of-way to oncoming traffic while making a left turn.,,,,Which action would have been the most direct and effective measure to prevent this collision?,Accident Prevention,The sedan driver should yield the right-of-way to the oncoming straight-travelling motorcycle,,,
1318,"Based on the visual evidence, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"It was daytime with clear, sunny skies, and the road surface was dry.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,Sparse traffic on downhill urban roads.,,,,How would you describe the specific road section where the collision happened?,Road Configuration,A T-junction with a wide central median strip.,,,,What is the most accurate classification for this type of collision?,Accident Type,A T-junction where a sliver SUV hitted by a high-speed motorcycle.,,,,What was the primary and direct cause of the collision?,Accident Cause,"The motorcycle was speeding in the intersection, leaving insufficient reaction time.",,,,What critical action should have taken to prevent this accident?,Accident Prevention,The motorcycle should slow down when approaching junctions.,,,
1336,"Based on the visual evidence in the video, what were the prevailing weather and lighting conditions at the time of the accident?",Weather & Light,"It was a clear, sunny day with good visibility and a dry road surface.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,On a multi-lane urban or suburban arterial road approaching a signalized intersection.,,,,What is the physical layout of the road shown in the video?,Road Configuration,"A multi-lane, two-way straight road separated by double solid yellow or white lines.",,,,What specific type of collision is depicted in the video?,Accident Type,"A rear-end collision, where the motorcycle struck the back of the white car.",,,,"Based on the actions of the vehicles leading up to the crash, what was the primary cause of this accident?",Accident Cause,Motorcycle failed to reduce the speed when approaching the intersection.,,,,What critical action by one of the drivers could have most directly prevented this collision from occurring?,Accident Prevention,The motorcycle should slow down when approaching junctions or other vehicles.,,,
1337,"Based on the video, what were the prevailing weather and road conditions when the accident occurred?",Weather & Light,Daytime with overcast/rainy conditions and wet road surfaces.,,,,Which of the following best describes the traffic environment where the collision happened?,Traffic Environment,"A multi-lane urban intersection under an overpass, with many non-motorized vehicles waiting in the opposite direction.",,,,What specific road marking or feature defines the area where the crash happens?,Road Configuration,"The view of the lanes crossing the intersection is obstructed by bridge piers, and the lanes are marked with dashed lines.",,,,What is the most accurate description of the accident type shown in the video?,Accident Type,A left-turning car collided with a truck going straight in its blind spot.,,,,What was the primary contributing factor leading to this collision?,Accident Cause,The white car driver failed to observe the truck in the vehicle's blind spot while making a right turn.,,,,What is the most crucial preventive measure the truck driver should have taken to avoid this incident?,Accident Prevention,The white car should using mirrors and visual checks to clear the significant blind spot on the vehicle's left side before and during the turn.,,,
1342,"Based on the visual information, what are the weather and light conditions at the time of the incident?",Weather & Light,Daylight with overcast skies and a wet road surface from rain.,,,,Which of the following best describes the traffic environment where the collision occurs?,Traffic Environment,An suburban expressway with multiple lanes and moderate traffic.,,,,What is the configuration of the road section where the accident happens?,Road Configuration,A sharp curve on an uphill road,,,,How would you classify the type of accident shown in the video?,Accident Type,A head-on collision of a white car that used the oncoming lane to overtake crossed into the opposing lane.,,,,What is the most likely primary cause of this accident?,Accident Cause,The white car crossed the line to overtake.,,,,Which action could have most effectively prevented this collision?,Accident Prevention,The white vintage car should quit using the oncoming lane to overtake.,,,
1345,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear and sunny daylight conditions.,,,,Which of the following best describes the traffic environment where the incident took place?,Traffic Environment,A wide suburban road with limited traffic and few vehicles parked on the road side.,,,,What is the configuration of the road where the collision occurred?,Road Configuration,"A surved, multi-lane road with a solid line marking in the middle, away from any intersection or marked crosswalk.",,,,How can the type of accident shown in the video be best classified?,Accident Type,A head-on collision after one vehicle lost control on a curve and crossed into the opposing lane.,,,,What was the primary and most direct cause of this accident?,Accident Cause,The black car in the oncoming lane veered off course after curving.,,,,what is the most crucial preventative measure to mitigate the risk of such accidents.,Accident Prevention,The dark car should reducing speed and maintaining high vigilance when driving through the curve ?,,,
1347,"Based on the video, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An open paved area like a parking lot or square, with bystanders and parked vehicles",,,,What is the configuration of the road in the video?,Road Configuration,"A wide, open paved area without any specific lane markings or traffic signals.",,,,What type of accident is primarily depicted in the video?,Accident Type,A T-bone where the motorcycle hitted by an ATV,,,,What was the most critical factor that led to the accident?,Accident Cause,The ATV driver was distracted by the crowd and did not see the motorcycle.,,,,Which of the following actions could have most effectively prevented the injury?,Accident Prevention,ATV should focus its attention and observe the surroundings.,,,
1349,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,Clear daylight with a dry road surface.,,,,Which of the following best describes the location where the collision occurs?,Traffic Environment,An urban intersection with orderly moderate traffic,,,,What is the configuration of the road where the accident took place?,Road Configuration,An urban intersection controlled by traffic signals and featuring a marked crosswal,,,,How can this accident be best classified?,Accident Type,A collision between a turning vehicle and a cyclist on a crosswalk.,,,,What was the primary cause of this collision?,Accident Cause,The driver of the dashcam vehicle failed to yield the right-of-way to the cyclist on the crosswalk while turning.,,,,What critical action should have taken to prevent this accident?,Accident Prevention,The ego-car should stop before the crosswalk to visually confirm it was clear of pedestrians and cyclists before proceeding.,,,
1354,"Based on the video, what were the prevailing weather and road surface conditions at the time of the incident?",Weather & Light,"Daytime with clear weather and a mostly dry road surface, with some wet patches.",,,,Which statement best describes the traffic environment that critically contributed to the accident?,Traffic Environment,City streets with low-rise houses and warning signs along the roadside,,,,What is the configuration of the road where the accident occurred?,Road Configuration,"A multi-lane, two-way urban intersection equipped with a marked pedestrian crosswalk.",,,,How can the type of this accident be best classified?,Accident Type,A head-on collision between the front of both vehicles.,,,,What was the primary and most immediate cause that triggered this collision?,Accident Cause,The opposite grey car made manuveur in a high speed,,,,What driving action could have been most effective in preventing this accident?,Accident Prevention,The opposite car should significantly reduce speed and observe the traffic when approaching the intersection?,,,
1359,"Based on the video, what are the environmental conditions at the time of the incident?",Weather & Light,Clear skies and good visibility during the day.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"A signalized suburban intersection with buildings and pedestrian presence, low traffic",,,,What is the configuration of the road where the collision happens?,Road Configuration,A standard four-way intersection controlled by traffic lights.,,,,How would you classify the type of collision that occurred between the two vehicles?,Accident Type,"A side-impact (T-bone) collision, where the front of one vehicle strikes the side of another.",,,,What was the critical error that led to this collision?,Accident Cause,The white car proceeded into the intersection against a red ligh in a high speed,,,,Which action by the drivers would have most effectively prevented this collision?,Accident Prevention,The white car driver should obey the traffic signals by stopping for the red light.,,,
1361,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with clear skies and good visibility.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,A busy urban main road with commercial buildings alongside.,,,,What is the configuration of the road where the accident took place?,Road Configuration,"A multi-lane road with a central median, at an opening allowing for left turns.",,,,What type of collision occurred in the video?,Accident Type,"A T-bone (side-impact) collision, where the front of the car struck the side of the scooter.",,,,What was the primary cause of this accident?,Accident Cause,The dark red car failed to yield the right-of-way to the oncoming scooter while making a left turn.,,,,How could this accident most likely have been prevented,Accident Prevention,The dark red car should wait for the oncoming scooter to pass completely before initiating the left turn.,,,
1362,"Based on the video, what were the weather and lighting conditions when the incident occurred?",Weather & Light,Clear daylight with good visibility.,,,,Which of the following best describes the traffic environment where the collision happened?,Traffic Environment,A multi-lane urban road with parked vehicles along the sides.,,,,What is the road configuration at the location of the accident?,Road Configuration,"A multi-lane, two-way road divided by a double solid line.",,,,What type of collision is depicted in the video?,Accident Type,"A T-bone collision, where the front of the dashcam car impacts the side of the white car.",,,,What was the primary cause of this collision?,Accident Cause,The white car failed to yield the right-of-way to the oncoming dashcam vehicle.,,,,What is the most critical action that could have prevented this accident?,Accident Prevention,The driver of the white car should have waited until they had a clear and unobstructed view of all traffic lanes before proceeding.,,,
1363,"Based on the visual evidence, what were the weather and lighting conditions at the time of the incident?",Weather & Light,Clear and sunny daylight conditions with a dry road surface.,,,,Which of the following best describes the traffic environment where the incident occurred?,Traffic Environment,"An urban or suburban area with moderate traffic, including a public bus and other passenger cars.",,,,What is the configuration of the road at the location of the collision?,Road Configuration,"A multi-lane, two-way road in a mid-block section, with no marked crosswalk visible at the immediate incident spot.",,,,What type of accident or near-accident is depicted in the video?,Accident Type,A head-on collision between the video car and the white bus.,,,,What was the primary and most direct cause of the hazardous situation?,Accident Cause,The bus was out of control and cut int to the opposite lane.,,,,Which of the following actions would have been the most effective measure to prevent this incident?,Accident Prevention,The bus should illuminate warning lights and engage the handbrake after a breakdown to prevent loss of control.,,,
1367,"Based on the visual evidence, what were the prevailing weather and road surface conditions at the time of the incident?",Weather & Light,"Clear and sunny daylight, with wet road surfaces from melting snow.",,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,An urban multi-lane main road at an intersection with a marked crosswalk and traffic signals.,,,,What is the configuration of the road before the crash?,Road Configuration,"An intersection with multi-lane, one-way road on one direction",,,,How would you classify the type of collision shown in the video?,Accident Type,A sideswipe collision resulting from conflicting lane change maneuvers.,,,,What was the primary and most direct cause of this collision?,Accident Cause,The white SUV was in a high speed and collision with another white car that changed lanes,,,,What is the most critical preventative measure that should have taken upon approaching this scene?,Accident Prevention,"The SUV should slow down significantly and be prepared to stop, observing the condition of the adjacent lanes at all times.",,,
1370,"Based on the visual information, what were the weather and lighting conditions at the time of the incident?",Weather & Light,"It was a clear, sunny day with good visibility and dry road surfaces.",,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban multi-lane thoroughfare with a row of cars parked on both side.,,,,What is the configuration of the road before the crash?,Road Configuration,A two-way road with no clear lane markings,,,,What type of accident is depicted in the video?,Accident Type,A sideswipe collision that occurred while changing lanes.,,,,What was the most plausible primary cause of the accident?,Accident Cause,The front SUV suddenly broke and made a U-turn.,,,,What would have been the most effective action to prevent this type of accident?,Accident Prevention,The front car should slow down gradually and make a U-turn only after ensuring there are no vehicles in front or behind.,,,
1374,"Based on the video, what were the weather and lighting conditions at the time of the accident?",Weather & Light,Daytime with cloudy skies and a dry road surface.,,,,Which of the following best describes the traffic environment where the collision occurred?,Traffic Environment,An urban area with multi-story apartment buildings and trees adjacent to the road.,,,,What is the configuration of the road where the accident happened?,Road Configuration,A multi-lane intersection with clearly marked crosswalks.,,,,What type of collision occurs between the two vehicles involved?,Accident Type,"An angle collision, where the front of the turning dark vintage car impacts the side of the straight-traveling sedan.",,,,What was the primary cause of this accident?,Accident Cause,The driver of the dark vintage car failed to yield the right-of-way to oncoming traffic while making a left turn.,,,,How could the driver involved have most effectively prevented this accident?,Accident Prevention,The dark vintage car should wait for the oncoming straight-traveling sedan to pass through the intersection before completing the left turn.,,,
1386,"Based on the visual evidence, what were the weather and road surface conditions at the time of the incident?",Weather & Light,Daytime with overcast skies and a wet road surface.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,"An urban secondary road with multiple lanes, roadside shops, and parked vehicles on the side.",,,,What is the configuration of the road where the collision happened?,Road Configuration,"a multi-lane, two-way, unsignalized intersection separated only by a protruding roadblock line.",,,,How would you classify the type of collision shown in the video?,Accident Type,"A near rear-end collision, results in a overturn of the motorcycle.",,,,What was the primary cause of this accident?,Accident Cause,The taxi driver failed to yield to traffic while merging from a parked position.,,,,What critical action should have taken to prevent this accident?,Accident Prevention,The taxi should thoroughly check mirrors and blind spots for approaching traffic before pulling out into the lane.,,,
1390,"Based on the video, what are the weather and road surface conditions at the time of the accident?",Weather & Light,"Daytime, raining with a wet road surface.",,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,An urban main road with multiple lanes and large buildings.,,,,"What is the configuration of the road at the location of the collision, as indicated by road signs and layout?",Road Configuration,A junction on a main road where straight-through traffic has the right-of-way,,,,How would you classify the type of collision shown in the video?,Accident Type,A near side-impact collision.,,,,What was the primary critical error that led to this collision?,Accident Cause,The silver SUV failed to yield the right-of-way to oncoming traffic while making a left turn.,,,,Which action would have been most effective in preventing this collision?,Accident Prevention,The sliver SUV should wait for the oncoming dark sedan to pass completely before initiating the left turn.,,,
1394,"Based on the video, what are the weather and road surface conditions?",Weather & Light,"Daytime and overcast, with snow and slush on the road, creating slippery conditions.",,,,What specific feature of the traffic environment is present at the location of the incident?,Traffic Environment,"A level crossing with a tram line, indicated by a warning sign.",,,,How can the road configuration shown in the video be best described?,Road Configuration,"A two-lane, two-way road where traffic flows in opposite directions.",,,,What type of accident occurs?in the video?,Accident Type,A rear-end collision.,,,,What was the primary cause of this accident?,Accident Cause,"The camera vehicle was following the truck too closely, failing to maintain a safe distance on a slippery road.",,,,Which action would have been most effective in preventing this accident?,Accident Prevention,The camera vehicle should maintain a greater following distance to account for the slippery conditions and potential stops.,,,
1406,"Based on the visual evidence in the video, what are the prevailing weather and road conditions?",Weather & Light,Daytime with overcast skies and dry road surfaces.,,,,Which of the following best describes the environment where the accident takes place?,Traffic Environment,A dense urban setting with multi-story buildings and moderate traffic.,,,,What is the layout of the road at the location of the collision?,Road Configuration,"A multi-lane, one-way road that is relatively straight.",,,,What type of collision occurs in the video?,Accident Type,A sideswipe collision resulting from conflicting lane change maneuvers.,,,,What is the primary action that directly precipitates the collision?,Accident Cause,"The silver car makes an abrupt, unsignaled lane change to the right, into the motorcycle's path.",,,,Which action would have been most effective in preventing this accident?,Accident Prevention,"The silver car should check mirrors and blind spots, and signal its intention before changing lanes.",,,
1413,What were the weather and lighting conditions at the time of the accident?,Weather & Light,Clear sky with bright sunlight during the day.,,,,Which of the following best describes the traffic environment where the accident occurred?,Traffic Environment,A busy urban highway with multiple lanes and congested traffic.,,,,What is the configuration of the road shown in the video?,Road Configuration,"A straight, multi-lane road divided by a metal guardrail median.",,,,"Based on the video, what type of collision occurred?",Accident Type,A rear-end collision where the orange truck failed to stop in time.,,,,"What was the primary, direct cause of this accident?",Accident Cause,"The orange truck lost control,faild to brake down.",,,,What could have been the most effective measure to avoid this specific collision?,Accident Prevention,,,,
